"ens_gene"	"most_sig_transcript"	"pval"	"qval"	"num_transcripts"	"list_of_transcripts"
"21"	"ENSG00000063046"	"ENST00000262056"	0.320376162748514	0.74171278565723	14	"ENST00000262056, ENST00000416762, ENST00000420463, ENST00000549077, ENST00000549481, ENST00000549592, ENST00000549645, ENST00000550025, ENST00000550390, ENST00000550704, ENST00000551002, ENST00000551527, ENST00000552490, ENST00000553209"
"22"	"ENSG00000063244"	"ENST00000450554"	0.467437140922866	0.813374375179861	8	"ENST00000450554, ENST00000308924, ENST00000587196, ENST00000587275, ENST00000588850, ENST00000590551, ENST00000592867, ENST00000592874"
"23"	"ENSG00000064666"	"ENST00000263097"	0.0951790561870122	0.458763050821399	12	"ENST00000263097, ENST00000348419, ENST00000562015, ENST00000562075, ENST00000562958, ENST00000564572, ENST00000565096, ENST00000566695, ENST00000568865, ENST00000569352, ENST00000606983, ENST00000607102"
"24"	"ENSG00000064726"	"ENST00000261721"	0.91636596967684	0.994531751688896	5	"ENST00000261721, ENST00000379403, ENST00000558344, ENST00000559652, ENST00000560015"
"25"	"ENSG00000066084"	"ENST00000301180"	0.0365559755433186	0.286444821808898	5	"ENST00000301180, ENST00000546719, ENST00000546732, ENST00000549620, ENST00000552328"
"26"	"ENSG00000067057"	"ENST00000381125"	0.00648435714299661	0.0947109134219505	12	"ENST00000381125, ENST00000381072, ENST00000381075, ENST00000407806, ENST00000413079, ENST00000415005, ENST00000421751, ENST00000433193, ENST00000460445, ENST00000468050, ENST00000495715, ENST00000607886"
"27"	"ENSG00000067704"	"ENST00000366922"	0.895335322459602	0.994531751688896	4	"ENST00000366922, ENST00000467924, ENST00000488777, ENST00000490891"
"28"	"ENSG00000068366"	"ENST00000469796"	0.0103518332737569	0.12473959094877	12	"ENST00000469796, ENST00000348502, ENST00000340800, ENST00000439581, ENST00000469857, ENST00000502391, ENST00000504383, ENST00000504980, ENST00000505075, ENST00000505855, ENST00000508092, ENST00000514500"
"29"	"ENSG00000068912"	"ENST00000185150"	0.557636451447405	0.878368528096894	4	"ENST00000185150, ENST00000378239, ENST00000405123, ENST00000494373"
"30"	"ENSG00000069493"	"ENST00000444971"	0.363665356293918	0.765914484001788	16	"ENST00000444971, ENST00000290855, ENST00000261339, ENST00000261340, ENST00000325960, ENST00000430909, ENST00000460309, ENST00000466035, ENST00000476198, ENST00000479877, ENST00000487752, ENST00000492359, ENST00000536355, ENST00000543300, ENST00000544322, ENST00000545918"
"31"	"ENSG00000070831"	"ENST00000344548"	0.377475633813449	0.781091450595877	5	"ENST00000344548, ENST00000315554, ENST00000400259, ENST00000411827, ENST00000498236"
"32"	"ENSG00000072958"	"ENST00000291439"	0.306663493593881	0.729154964678744	15	"ENST00000291439, ENST00000429941, ENST00000444449, ENST00000586461, ENST00000586543, ENST00000586957, ENST00000589782, ENST00000589822, ENST00000589991, ENST00000590263, ENST00000590756, ENST00000590945, ENST00000591775, ENST00000591966, ENST00000592703"
"33"	"ENSG00000073008"	"ENST00000425690"	0.406278608163857	0.786450960381443	6	"ENST00000425690, ENST00000403059, ENST00000187830, ENST00000344956, ENST00000406449, ENST00000587785"
"34"	"ENSG00000074800"	"ENST00000234590"	2.0365214158071e-07	9.8160332241902e-06	6	"ENST00000234590, ENST00000464920, ENST00000486051, ENST00000489867, ENST00000492343, ENST00000497492"
"35"	"ENSG00000075151"	"ENST00000602326"	0.123391302122351	0.510477274636884	13	"ENST00000602326, ENST00000264211, ENST00000356916, ENST00000374933, ENST00000374935, ENST00000400422, ENST00000411888, ENST00000435383, ENST00000438975, ENST00000463775, ENST00000476088, ENST00000485722, ENST00000496705"
"36"	"ENSG00000075415"	"ENST00000552981"	0.398827953851702	0.784156561669792	17	"ENST00000552981, ENST00000188376, ENST00000228318, ENST00000401722, ENST00000546766, ENST00000547444, ENST00000547534, ENST00000547869, ENST00000547908, ENST00000548046, ENST00000548480, ENST00000548847, ENST00000549338, ENST00000550695, ENST00000551123, ENST00000551265, ENST00000551917"
