"ens_gene"	"target_id"	"pval"	"qval"	"num_transcripts"	"all_target_ids"
"52"	"ENSG00000096696"	"ENST00000418664"	0.364583100023064	0.767375782581297	3	"ENST00000418664"
"53"	"ENSG00000097021"	"ENST00000608083"	0.892223809245347	0.993117095472403	10	"ENST00000608083"
"54"	"ENSG00000100014"	"ENST00000437398"	0.282404571040089	0.724037251283632	7	"ENST00000437398"
"55"	"ENSG00000100129"	"ENST00000477256"	0.759109994920523	0.960343878088431	14	"ENST00000477256"
"56"	"ENSG00000100241"	"ENST00000348911"	0.0820619758691637	0.421003372728223	8	"ENST00000348911"
"57"	"ENSG00000100401"	"ENST00000356244"	0.0201899422678879	0.190814748492588	7	"ENST00000356244"
"58"	"ENSG00000100403"	"ENST00000352645"	0.116777820744483	0.498114244237531	2	"ENST00000352645"
"59"	"ENSG00000100413"	"ENST00000355209"	0.971426981560236	0.99550607877328	9	"ENST00000355209"
"60"	"ENSG00000100836"	"ENST00000216727"	0.620501200262198	0.892068160092404	8	"ENST00000216727"
"61"	"ENSG00000101084"	"ENST00000344795"	0.306498394580411	0.730114587318846	7	"ENST00000344795"
"62"	"ENSG00000101367"	"ENST00000375571"	0.00930589299264059	0.115011292883404	1	"ENST00000375571"
"63"	"ENSG00000101608"	"ENST00000217652"	0.544002542645789	0.872466210049799	12	"ENST00000217652"
"64"	"ENSG00000101825"	"ENST00000217939"	0.00681637131729224	0.0966320874980841	1	"ENST00000217939"
"65"	"ENSG00000102172"	"ENST00000404933"	0.781466714582837	0.96686259468056	4	"ENST00000404933"
"66"	"ENSG00000102265"	"ENST00000218388"	0.0576119043020797	0.351505542703828	5	"ENST00000218388"
"67"	"ENSG00000102316"	"ENST00000347546"	0.322598613183887	0.750048469056641	13	"ENST00000347546"
"68"	"ENSG00000102317"	"ENST00000376759"	0.0364140769864868	0.282715149174955	11	"ENST00000376759"
"69"	"ENSG00000102531"	"ENST00000398316"	0.820752702729609	0.982190768531659	6	"ENST00000398316"
"70"	"ENSG00000102606"	"ENST00000426073"	0.174566748429181	0.584313699603232	19	"ENST00000426073"
"71"	"ENSG00000102699"	"ENST00000381989"	0.78432214630726	0.96686259468056	3	"ENST00000381989"
"72"	"ENSG00000103196"	"ENST00000566165"	0.164975690129963	0.575791669376691	11	"ENST00000566165"
